1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
MAN6PI 	['iMM904 f6p_c'] 	['iMM904 man6p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


791
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
G6PI3 	['iMM904 f6p_c'] 	['iMM904 g6p_DASH_B_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
G6PI3 	['iMM904 g6p_DASH_B_c'] 	['iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


792
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PGI 	['iMM904 f6p_c'] 	['iMM904 g6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PGI 	['iMM904 g6p_c'] 	['iMM904 f6p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']


793
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
TALA 	['iMM904 e4p_c', 'iMM904 f6p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


794
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
TALA 	['iMM904 e4p_c', 'iMM904 f6p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
TKT2 	['iMM904 g3p_c', 'iMM904 f6p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


795
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']


796
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


797
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


798
RBK 	['iMM904 rib_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 r5p_c', 'iMM904 h_c', 'iMM904 adp_c']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


799
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PRPPtm 	['iMM904 prpp_c'] 	['iMM904 prpp_m']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PRPPtm 	['iMM904 prpp_m'] 	['iMM904 prpp_c']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


800
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


801
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


802
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
